,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,score,opt_d,step
42,48,49,41,44,45,52,51,46,53,59,58,57,54,40,43,50,55,69,68,80,82,86,87,85,73,74,76,71,60,61,63,66,67,64,26,27,21,20,16,15,19,17,18,24,47,22,65,95,93,91,92,72,83,89,81,70,77,94,84,88,56,23,10,14,12,8,5,6,7,2,1,3,32,4,33,28,9,31,29,11,62,90,0,75,25,79,13,78,38,37,36,35,30,34,39,-1336.9819329958104,1284.8985996624772,10
49,41,44,45,52,51,46,53,59,58,57,54,40,43,50,55,69,68,80,82,86,87,85,73,74,76,71,60,61,63,66,67,64,26,27,21,20,16,15,19,17,18,24,47,22,65,95,93,91,92,72,83,89,81,70,77,94,84,88,56,23,10,14,12,8,5,6,7,2,1,3,32,4,33,28,9,31,29,11,62,90,0,75,25,79,13,78,38,37,36,35,30,34,39,42,48,-1328.588363734094,1276.5050304007607,10
79,13,78,38,37,36,35,30,34,39,42,48,49,41,44,45,52,51,46,53,59,58,57,54,40,43,50,55,69,68,80,82,86,87,85,73,74,76,71,60,61,63,66,67,64,26,27,21,20,16,15,19,17,18,24,47,22,65,95,93,91,92,72,83,89,81,70,77,94,84,88,56,23,10,14,12,8,5,6,7,2,1,3,32,4,33,28,9,31,29,11,62,90,0,75,25,-1183.3192178457152,1131.235884512382,10
14,12,8,5,6,7,2,1,3,32,4,33,28,9,31,29,11,62,90,0,75,25,79,13,78,38,37,36,35,30,34,39,42,48,49,41,44,45,52,51,46,53,59,58,57,54,40,43,50,55,69,68,80,82,86,87,85,73,74,76,71,60,61,63,66,67,64,26,27,21,20,16,15,19,17,18,24,47,22,65,95,93,91,92,72,83,89,81,70,77,94,84,88,56,23,10,-1318.3534161895163,1266.270082856183,10
94,84,88,56,23,10,14,12,8,5,6,7,2,1,3,32,4,33,28,9,31,29,11,62,90,0,75,25,79,13,78,38,37,36,35,30,34,39,42,48,49,41,44,45,52,51,46,53,59,58,57,54,40,43,50,55,69,68,80,82,86,87,85,73,74,76,71,60,61,63,66,67,64,26,27,21,20,16,15,19,17,18,24,47,22,65,95,93,91,92,72,83,89,81,70,77,-1291.5375524278784,1239.4542190945451,10
52,46,49,47,54,50,68,69,71,60,75,77,84,83,87,86,89,73,81,82,90,80,88,72,74,65,64,26,24,22,19,23,15,12,9,8,3,5,32,6,7,34,4,2,0,79,76,59,53,17,92,85,55,95,78,94,91,93,1,28,29,31,37,36,33,35,30,43,42,39,38,48,51,41,44,40,45,10,13,11,14,16,20,18,21,25,27,63,66,62,67,61,70,58,56,57,-1275.1183302686336,1223.0349969353003,10
85,55,95,78,94,91,93,1,28,29,31,37,36,33,35,30,43,42,39,38,48,51,41,44,40,45,10,13,11,14,16,20,18,21,25,27,63,66,62,67,61,70,58,56,57,52,46,49,47,54,50,68,69,71,60,75,77,84,83,87,86,89,73,81,82,90,80,88,72,74,65,64,26,24,22,19,23,15,12,9,8,3,5,32,6,7,34,4,2,0,79,76,59,53,17,92,-1377.6937492692336,1325.6104159359004,10
75,77,84,83,87,86,89,73,81,82,90,80,88,72,74,65,64,26,24,22,19,23,15,12,9,8,3,5,32,6,7,34,4,2,0,79,76,59,53,17,92,85,55,95,78,94,91,93,1,28,29,31,37,36,33,35,30,43,42,39,38,48,51,41,44,40,45,10,13,11,14,16,20,18,21,25,27,63,66,62,67,61,70,58,56,57,52,46,49,47,54,50,68,69,71,60,-1275.1183302686336,1223.0349969353003,10
34,4,2,0,79,76,59,53,17,92,85,55,95,78,94,91,93,1,28,29,31,37,36,33,35,30,43,42,39,38,48,51,41,44,40,45,10,13,11,14,16,20,18,21,25,27,63,66,62,67,61,70,58,56,57,52,46,49,47,54,50,68,69,71,60,75,77,84,83,87,86,89,73,81,82,90,80,88,72,74,65,64,26,24,22,19,23,15,12,9,8,3,5,32,6,7,-1375.4168572704712,1323.333523937138,10
70,58,56,57,52,46,49,47,54,50,68,69,71,60,75,77,84,83,87,86,89,73,81,82,90,80,88,72,74,65,64,26,24,22,19,23,15,12,9,8,3,5,32,6,7,34,4,2,0,79,76,59,53,17,92,85,55,95,78,94,91,93,1,28,29,31,37,36,33,35,30,43,42,39,38,48,51,41,44,40,45,10,13,11,14,16,20,18,21,25,27,63,66,62,67,61,-1275.1183302686336,1223.0349969353003,10
12,13,15,16,18,21,27,25,22,23,20,26,63,61,65,66,67,62,58,59,57,56,70,72,71,75,77,84,87,86,85,83,73,88,90,82,81,68,80,69,55,24,19,10,1,0,78,79,60,74,76,89,94,95,17,8,93,11,64,91,14,92,35,48,41,40,39,38,33,37,30,36,28,29,31,34,43,42,45,47,46,53,52,51,49,54,50,44,32,4,3,5,7,2,9,6,-1310.1335892749128,1258.0502559415795,10
71,75,77,84,87,86,85,83,73,88,90,82,81,68,80,69,55,24,19,10,1,0,78,79,60,74,76,89,94,95,17,8,93,11,64,91,14,92,35,48,41,40,39,38,33,37,30,36,28,29,31,34,43,42,45,47,46,53,52,51,49,54,50,44,32,4,3,5,7,2,9,6,12,13,15,16,18,21,27,25,22,23,20,26,63,61,65,66,67,62,58,59,57,56,70,72,-1396.6637430379992,1344.580409704666,10
55,24,19,10,1,0,78,79,60,74,76,89,94,95,17,8,93,11,64,91,14,92,35,48,41,40,39,38,33,37,30,36,28,29,31,34,43,42,45,47,46,53,52,51,49,54,50,44,32,4,3,5,7,2,9,6,12,13,15,16,18,21,27,25,22,23,20,26,63,61,65,66,67,62,58,59,57,56,70,72,71,75,77,84,87,86,85,83,73,88,90,82,81,68,80,69,-1366.1370972403433,1314.05376390701,10
93,11,64,91,14,92,35,48,41,40,39,38,33,37,30,36,28,29,31,34,43,42,45,47,46,53,52,51,49,54,50,44,32,4,3,5,7,2,9,6,12,13,15,16,18,21,27,25,22,23,20,26,63,61,65,66,67,62,58,59,57,56,70,72,71,75,77,84,87,86,85,83,73,88,90,82,81,68,80,69,55,24,19,10,1,0,78,79,60,74,76,89,94,95,17,8,-1318.0032330941494,1265.9198997608162,10
34,43,42,45,47,46,53,52,51,49,54,50,44,32,4,3,5,7,2,9,6,12,13,15,16,18,21,27,25,22,23,20,26,63,61,65,66,67,62,58,59,57,56,70,72,71,75,77,84,87,86,85,83,73,88,90,82,81,68,80,69,55,24,19,10,1,0,78,79,60,74,76,89,94,95,17,8,93,11,64,91,14,92,35,48,41,40,39,38,33,37,30,36,28,29,31,-1371.2945623723156,1319.2112290389823,10
55,53,52,56,68,61,22,21,20,27,95,67,93,77,87,86,89,85,90,82,83,88,91,60,62,46,24,45,33,43,35,28,31,29,37,5,18,8,25,47,0,81,92,94,79,11,78,80,84,17,15,12,14,9,6,7,4,3,2,1,30,36,34,38,42,49,51,54,48,41,40,50,39,32,44,10,13,19,16,23,26,64,63,66,65,75,72,76,74,73,71,70,69,58,59,57,-1352.830085757715,1300.7467524243818,10
73,71,70,69,58,59,57,55,53,52,56,68,61,22,21,20,27,95,67,93,77,87,86,89,85,90,82,83,88,91,60,62,46,24,45,33,43,35,28,31,29,37,5,18,8,25,47,0,81,92,94,79,11,78,80,84,17,15,12,14,9,6,7,4,3,2,1,30,36,34,38,42,49,51,54,48,41,40,50,39,32,44,10,13,19,16,23,26,64,63,66,65,75,72,76,74,-1396.4111598723218,1344.3278265389886,10
77,87,86,89,85,90,82,83,88,91,60,62,46,24,45,33,43,35,28,31,29,37,5,18,8,25,47,0,81,92,94,79,11,78,80,84,17,15,12,14,9,6,7,4,3,2,1,30,36,34,38,42,49,51,54,48,41,40,50,39,32,44,10,13,19,16,23,26,64,63,66,65,75,72,76,74,73,71,70,69,58,59,57,55,53,52,56,68,61,22,21,20,27,95,67,93,-1395.8205047174174,1343.7371713840841,10
53,52,56,68,61,22,21,20,27,95,67,93,77,87,86,89,85,90,82,83,88,91,60,62,46,24,45,33,43,35,28,31,29,37,5,18,8,25,47,0,81,92,94,79,11,78,80,84,17,15,12,14,9,6,7,4,3,2,1,30,36,34,38,42,49,51,54,48,41,40,50,39,32,44,10,13,19,16,23,26,64,63,66,65,75,72,76,74,73,71,70,69,58,59,57,55,-1346.8551555507763,1294.771822217443,10
59,57,55,53,52,56,68,61,22,21,20,27,95,67,93,77,87,86,89,85,90,82,83,88,91,60,62,46,24,45,33,43,35,28,31,29,37,5,18,8,25,47,0,81,92,94,79,11,78,80,84,17,15,12,14,9,6,7,4,3,2,1,30,36,34,38,42,49,51,54,48,41,40,50,39,32,44,10,13,19,16,23,26,64,63,66,65,75,72,76,74,73,71,70,69,58,-1362.9709962337538,1310.8876629004205,10
68,69,80,81,84,87,88,86,89,83,77,76,73,72,70,71,60,61,63,64,27,25,23,21,18,17,15,10,46,54,55,51,40,38,37,33,36,31,28,0,34,39,48,45,50,57,24,26,65,67,74,85,91,66,93,94,75,58,59,82,62,95,92,19,20,8,30,29,35,2,4,47,22,90,78,16,79,14,11,13,12,6,5,9,3,1,7,32,43,44,42,41,49,52,53,56,-1193.7192436274568,1141.6359102941235,10
76,73,72,70,71,60,61,63,64,27,25,23,21,18,17,15,10,46,54,55,51,40,38,37,33,36,31,28,0,34,39,48,45,50,57,24,26,65,67,74,85,91,66,93,94,75,58,59,82,62,95,92,19,20,8,30,29,35,2,4,47,22,90,78,16,79,14,11,13,12,6,5,9,3,1,7,32,43,44,42,41,49,52,53,56,68,69,80,81,84,87,88,86,89,83,77,-1239.7247533773618,1187.6414200440286,10
39,48,45,50,57,24,26,65,67,74,85,91,66,93,94,75,58,59,82,62,95,92,19,20,8,30,29,35,2,4,47,22,90,78,16,79,14,11,13,12,6,5,9,3,1,7,32,43,44,42,41,49,52,53,56,68,69,80,81,84,87,88,86,89,83,77,76,73,72,70,71,60,61,63,64,27,25,23,21,18,17,15,10,46,54,55,51,40,38,37,33,36,31,28,0,34,-1226.359844646661,1174.2765113133278,10
55,51,40,38,37,33,36,31,28,0,34,39,48,45,50,57,24,26,65,67,74,85,91,66,93,94,75,58,59,82,62,95,92,19,20,8,30,29,35,2,4,47,22,90,78,16,79,14,11,13,12,6,5,9,3,1,7,32,43,44,42,41,49,52,53,56,68,69,80,81,84,87,88,86,89,83,77,76,73,72,70,71,60,61,63,64,27,25,23,21,18,17,15,10,46,54,-1285.501785615884,1233.4184522825508,10
63,64,27,25,23,21,18,17,15,10,46,54,55,51,40,38,37,33,36,31,28,0,34,39,48,45,50,57,24,26,65,67,74,85,91,66,93,94,75,58,59,82,62,95,92,19,20,8,30,29,35,2,4,47,22,90,78,16,79,14,11,13,12,6,5,9,3,1,7,32,43,44,42,41,49,52,53,56,68,69,80,81,84,87,88,86,89,83,77,76,73,72,70,71,60,61,-1310.2733330256603,1258.189999692327,10
33,35,34,31,28,36,0,1,6,8,4,5,11,13,12,15,14,47,10,9,7,30,2,3,29,32,23,70,68,80,83,85,77,86,88,84,81,82,78,89,87,92,62,69,79,90,16,95,50,27,91,74,75,76,72,73,71,58,56,55,57,59,61,65,63,60,66,93,94,67,64,26,22,21,18,19,17,25,20,24,53,46,52,51,54,42,48,40,38,39,44,41,49,45,43,37,-1241.4910432603672,1189.407709927034,10
64,26,22,21,18,19,17,25,20,24,53,46,52,51,54,42,48,40,38,39,44,41,49,45,43,37,33,35,34,31,28,36,0,1,6,8,4,5,11,13,12,15,14,47,10,9,7,30,2,3,29,32,23,70,68,80,83,85,77,86,88,84,81,82,78,89,87,92,62,69,79,90,16,95,50,27,91,74,75,76,72,73,71,58,56,55,57,59,61,65,63,60,66,93,94,67,-1240.511054407962,1188.4277210746288,10
9,7,30,2,3,29,32,23,70,68,80,83,85,77,86,88,84,81,82,78,89,87,92,62,69,79,90,16,95,50,27,91,74,75,76,72,73,71,58,56,55,57,59,61,65,63,60,66,93,94,67,64,26,22,21,18,19,17,25,20,24,53,46,52,51,54,42,48,40,38,39,44,41,49,45,43,37,33,35,34,31,28,36,0,1,6,8,4,5,11,13,12,15,14,47,10,-1326.0658207721385,1273.9824874388053,10
72,73,71,58,56,55,57,59,61,65,63,60,66,93,94,67,64,26,22,21,18,19,17,25,20,24,53,46,52,51,54,42,48,40,38,39,44,41,49,45,43,37,33,35,34,31,28,36,0,1,6,8,4,5,11,13,12,15,14,47,10,9,7,30,2,3,29,32,23,70,68,80,83,85,77,86,88,84,81,82,78,89,87,92,62,69,79,90,16,95,50,27,91,74,75,76,-1279.5252078556991,1227.4418745223659,10
16,95,50,27,91,74,75,76,72,73,71,58,56,55,57,59,61,65,63,60,66,93,94,67,64,26,22,21,18,19,17,25,20,24,53,46,52,51,54,42,48,40,38,39,44,41,49,45,43,37,33,35,34,31,28,36,0,1,6,8,4,5,11,13,12,15,14,47,10,9,7,30,2,3,29,32,23,70,68,80,83,85,77,86,88,84,81,82,78,89,87,92,62,69,79,90,-1210.5150019009245,1158.4316685675913,10
20,16,18,22,21,19,17,15,13,8,9,7,3,2,6,1,5,12,4,32,39,48,41,38,34,35,30,31,33,28,37,29,44,42,40,49,45,46,54,55,68,80,82,86,87,84,77,83,85,88,81,90,73,74,71,60,67,76,70,72,75,89,91,94,27,95,93,51,69,56,24,10,36,43,0,11,50,78,92,79,14,47,53,52,57,58,59,62,66,64,65,63,61,26,23,25,-1228.132740238313,1176.0494069049798,10
32,39,48,41,38,34,35,30,31,33,28,37,29,44,42,40,49,45,46,54,55,68,80,82,86,87,84,77,83,85,88,81,90,73,74,71,60,67,76,70,72,75,89,91,94,27,95,93,51,69,56,24,10,36,43,0,11,50,78,92,79,14,47,53,52,57,58,59,62,66,64,65,63,61,26,23,25,20,16,18,22,21,19,17,15,13,8,9,7,3,2,6,1,5,12,4,-1320.4510176332753,1268.367684299942,10
8,9,7,3,2,6,1,5,12,4,32,39,48,41,38,34,35,30,31,33,28,37,29,44,42,40,49,45,46,54,55,68,80,82,86,87,84,77,83,85,88,81,90,73,74,71,60,67,76,70,72,75,89,91,94,27,95,93,51,69,56,24,10,36,43,0,11,50,78,92,79,14,47,53,52,57,58,59,62,66,64,65,63,61,26,23,25,20,16,18,22,21,19,17,15,13,-1313.768869661229,1261.6855363278958,10
39,48,41,38,34,35,30,31,33,28,37,29,44,42,40,49,45,46,54,55,68,80,82,86,87,84,77,83,85,88,81,90,73,74,71,60,67,76,70,72,75,89,91,94,27,95,93,51,69,56,24,10,36,43,0,11,50,78,92,79,14,47,53,52,57,58,59,62,66,64,65,63,61,26,23,25,20,16,18,22,21,19,17,15,13,8,9,7,3,2,6,1,5,12,4,32,-1319.3020279054617,1267.2186945721285,10
28,37,29,44,42,40,49,45,46,54,55,68,80,82,86,87,84,77,83,85,88,81,90,73,74,71,60,67,76,70,72,75,89,91,94,27,95,93,51,69,56,24,10,36,43,0,11,50,78,92,79,14,47,53,52,57,58,59,62,66,64,65,63,61,26,23,25,20,16,18,22,21,19,17,15,13,8,9,7,3,2,6,1,5,12,4,32,39,48,41,38,34,35,30,31,33,-1337.069900497349,1284.9865671640157,10
85,84,81,90,80,72,75,93,91,70,82,78,43,32,0,29,38,57,53,25,95,94,92,88,83,27,18,17,11,9,2,14,26,40,13,33,89,79,58,50,54,55,69,56,68,52,49,42,41,48,51,46,45,47,10,44,39,34,35,37,30,36,31,28,1,5,8,7,4,3,6,12,15,19,21,20,16,23,24,22,62,59,61,66,67,64,63,60,65,71,73,74,76,77,87,86,-1283.5382827103115,1231.4549493769782,10
87,86,85,84,81,90,80,72,75,93,91,70,82,78,43,32,0,29,38,57,53,25,95,94,92,88,83,27,18,17,11,9,2,14,26,40,13,33,89,79,58,50,54,55,69,56,68,52,49,42,41,48,51,46,45,47,10,44,39,34,35,37,30,36,31,28,1,5,8,7,4,3,6,12,15,19,21,20,16,23,24,22,62,59,61,66,67,64,63,60,65,71,73,74,76,77,-1288.077436670217,1235.9941033368837,10
14,26,40,13,33,89,79,58,50,54,55,69,56,68,52,49,42,41,48,51,46,45,47,10,44,39,34,35,37,30,36,31,28,1,5,8,7,4,3,6,12,15,19,21,20,16,23,24,22,62,59,61,66,67,64,63,60,65,71,73,74,76,77,87,86,85,84,81,90,80,72,75,93,91,70,82,78,43,32,0,29,38,57,53,25,95,94,92,88,83,27,18,17,11,9,2,-1251.0077680241518,1198.9244346908185,10
7,4,3,6,12,15,19,21,20,16,23,24,22,62,59,61,66,67,64,63,60,65,71,73,74,76,77,87,86,85,84,81,90,80,72,75,93,91,70,82,78,43,32,0,29,38,57,53,25,95,94,92,88,83,27,18,17,11,9,2,14,26,40,13,33,89,79,58,50,54,55,69,56,68,52,49,42,41,48,51,46,45,47,10,44,39,34,35,37,30,36,31,28,1,5,8,-1290.6640004721917,1238.5806671388584,10
47,10,44,39,34,35,37,30,36,31,28,1,5,8,7,4,3,6,12,15,19,21,20,16,23,24,22,62,59,61,66,67,64,63,60,65,71,73,74,76,77,87,86,85,84,81,90,80,72,75,93,91,70,82,78,43,32,0,29,38,57,53,25,95,94,92,88,83,27,18,17,11,9,2,14,26,40,13,33,89,79,58,50,54,55,69,56,68,52,49,42,41,48,51,46,45,-1273.853856688464,1221.7705233551308,10
3,4,7,6,11,8,12,9,15,14,13,16,18,19,20,22,26,23,62,63,66,71,65,27,67,94,93,95,25,24,47,46,45,51,50,56,53,55,69,82,78,39,34,44,40,48,52,32,28,10,17,68,90,43,2,0,80,5,21,81,79,64,86,87,77,84,83,85,89,88,73,76,91,92,75,74,70,72,58,60,61,59,57,54,49,42,41,38,37,31,29,35,36,33,30,1,-1282.7505870004043,1230.667253667071,10
7,6,11,8,12,9,15,14,13,16,18,19,20,22,26,23,62,63,66,71,65,27,67,94,93,95,25,24,47,46,45,51,50,56,53,55,69,82,78,39,34,44,40,48,52,32,28,10,17,68,90,43,2,0,80,5,21,81,79,64,86,87,77,84,83,85,89,88,73,76,91,92,75,74,70,72,58,60,61,59,57,54,49,42,41,38,37,31,29,35,36,33,30,1,3,4,-1280.0066739732956,1227.9233406399624,10
78,39,34,44,40,48,52,32,28,10,17,68,90,43,2,0,80,5,21,81,79,64,86,87,77,84,83,85,89,88,73,76,91,92,75,74,70,72,58,60,61,59,57,54,49,42,41,38,37,31,29,35,36,33,30,1,3,4,7,6,11,8,12,9,15,14,13,16,18,19,20,22,26,23,62,63,66,71,65,27,67,94,93,95,25,24,47,46,45,51,50,56,53,55,69,82,-1257.4977292242036,1205.4143958908703,10
90,43,2,0,80,5,21,81,79,64,86,87,77,84,83,85,89,88,73,76,91,92,75,74,70,72,58,60,61,59,57,54,49,42,41,38,37,31,29,35,36,33,30,1,3,4,7,6,11,8,12,9,15,14,13,16,18,19,20,22,26,23,62,63,66,71,65,27,67,94,93,95,25,24,47,46,45,51,50,56,53,55,69,82,78,39,34,44,40,48,52,32,28,10,17,68,-1200.9537454175804,1148.8704120842472,10
79,64,86,87,77,84,83,85,89,88,73,76,91,92,75,74,70,72,58,60,61,59,57,54,49,42,41,38,37,31,29,35,36,33,30,1,3,4,7,6,11,8,12,9,15,14,13,16,18,19,20,22,26,23,62,63,66,71,65,27,67,94,93,95,25,24,47,46,45,51,50,56,53,55,69,82,78,39,34,44,40,48,52,32,28,10,17,68,90,43,2,0,80,5,21,81,-1327.2604204089507,1275.1770870756175,10
50,41,42,39,48,49,46,47,53,51,45,44,32,43,34,33,31,29,0,35,38,40,55,68,80,69,83,85,87,84,92,67,66,62,26,23,24,22,21,19,16,18,14,11,9,13,15,20,63,61,27,65,60,56,37,30,28,1,6,5,8,3,10,4,12,17,93,94,95,81,78,2,25,82,36,79,91,7,64,90,89,88,86,77,73,72,75,74,76,71,70,59,58,57,54,52,-1384.4141489523465,1332.3308156190133,10
61,27,65,60,56,37,30,28,1,6,5,8,3,10,4,12,17,93,94,95,81,78,2,25,82,36,79,91,7,64,90,89,88,86,77,73,72,75,74,76,71,70,59,58,57,54,52,50,41,42,39,48,49,46,47,53,51,45,44,32,43,34,33,31,29,0,35,38,40,55,68,80,69,83,85,87,84,92,67,66,62,26,23,24,22,21,19,16,18,14,11,9,13,15,20,63,-1419.8076857327612,1367.724352399428,10
17,93,94,95,81,78,2,25,82,36,79,91,7,64,90,89,88,86,77,73,72,75,74,76,71,70,59,58,57,54,52,50,41,42,39,48,49,46,47,53,51,45,44,32,43,34,33,31,29,0,35,38,40,55,68,80,69,83,85,87,84,92,67,66,62,26,23,24,22,21,19,16,18,14,11,9,13,15,20,63,61,27,65,60,56,37,30,28,1,6,5,8,3,10,4,12,-1353.4839798838432,1301.40064655051,10
89,88,86,77,73,72,75,74,76,71,70,59,58,57,54,52,50,41,42,39,48,49,46,47,53,51,45,44,32,43,34,33,31,29,0,35,38,40,55,68,80,69,83,85,87,84,92,67,66,62,26,23,24,22,21,19,16,18,14,11,9,13,15,20,63,61,27,65,60,56,37,30,28,1,6,5,8,3,10,4,12,17,93,94,95,81,78,2,25,82,36,79,91,7,64,90,-1432.783708830491,1380.7003754971577,10
35,38,40,55,68,80,69,83,85,87,84,92,67,66,62,26,23,24,22,21,19,16,18,14,11,9,13,15,20,63,61,27,65,60,56,37,30,28,1,6,5,8,3,10,4,12,17,93,94,95,81,78,2,25,82,36,79,91,7,64,90,89,88,86,77,73,72,75,74,76,71,70,59,58,57,54,52,50,41,42,39,48,49,46,47,53,51,45,44,32,43,34,33,31,29,0,-1361.814717099854,1309.7313837665208,10
59,53,52,57,54,55,69,81,90,88,82,80,74,91,93,75,64,92,94,70,68,48,40,42,41,49,45,51,39,43,38,44,33,36,34,32,31,35,30,1,3,7,5,9,11,6,8,12,13,15,18,25,16,20,19,10,4,0,37,28,50,29,2,47,56,83,78,46,89,95,79,14,17,86,87,85,84,77,73,76,71,72,58,60,63,62,66,65,67,61,26,27,21,23,22,24,-1326.9264630769178,1274.8431297435845,10
16,20,19,10,4,0,37,28,50,29,2,47,56,83,78,46,89,95,79,14,17,86,87,85,84,77,73,76,71,72,58,60,63,62,66,65,67,61,26,27,21,23,22,24,59,53,52,57,54,55,69,81,90,88,82,80,74,91,93,75,64,92,94,70,68,48,40,42,41,49,45,51,39,43,38,44,33,36,34,32,31,35,30,1,3,7,5,9,11,6,8,12,13,15,18,25,-1334.4727630109503,1282.389429677617,10
13,15,18,25,16,20,19,10,4,0,37,28,50,29,2,47,56,83,78,46,89,95,79,14,17,86,87,85,84,77,73,76,71,72,58,60,63,62,66,65,67,61,26,27,21,23,22,24,59,53,52,57,54,55,69,81,90,88,82,80,74,91,93,75,64,92,94,70,68,48,40,42,41,49,45,51,39,43,38,44,33,36,34,32,31,35,30,1,3,7,5,9,11,6,8,12,-1380.4312963758912,1328.347963042558,10
93,75,64,92,94,70,68,48,40,42,41,49,45,51,39,43,38,44,33,36,34,32,31,35,30,1,3,7,5,9,11,6,8,12,13,15,18,25,16,20,19,10,4,0,37,28,50,29,2,47,56,83,78,46,89,95,79,14,17,86,87,85,84,77,73,76,71,72,58,60,63,62,66,65,67,61,26,27,21,23,22,24,59,53,52,57,54,55,69,81,90,88,82,80,74,91,-1414.2374586888645,1362.1541253555313,10
76,71,72,58,60,63,62,66,65,67,61,26,27,21,23,22,24,59,53,52,57,54,55,69,81,90,88,82,80,74,91,93,75,64,92,94,70,68,48,40,42,41,49,45,51,39,43,38,44,33,36,34,32,31,35,30,1,3,7,5,9,11,6,8,12,13,15,18,25,16,20,19,10,4,0,37,28,50,29,2,47,56,83,78,46,89,95,79,14,17,86,87,85,84,77,73,-1310.7221087152434,1258.6387753819101,10
6,8,14,12,11,15,19,16,18,20,21,23,26,63,65,67,62,61,70,74,71,58,56,68,57,55,53,59,66,76,84,87,77,85,86,88,83,72,69,80,89,75,93,64,95,91,94,73,90,60,27,22,24,25,17,47,52,45,44,51,50,46,13,9,10,31,1,40,82,79,78,92,54,2,81,29,0,30,36,37,35,38,34,32,39,48,42,49,41,43,33,28,4,3,7,5,-1291.106039730428,1239.0227063970947,10
16,18,20,21,23,26,63,65,67,62,61,70,74,71,58,56,68,57,55,53,59,66,76,84,87,77,85,86,88,83,72,69,80,89,75,93,64,95,91,94,73,90,60,27,22,24,25,17,47,52,45,44,51,50,46,13,9,10,31,1,40,82,79,78,92,54,2,81,29,0,30,36,37,35,38,34,32,39,48,42,49,41,43,33,28,4,3,7,5,6,8,14,12,11,15,19,-1254.1693749348772,1202.086041601544,10
88,83,72,69,80,89,75,93,64,95,91,94,73,90,60,27,22,24,25,17,47,52,45,44,51,50,46,13,9,10,31,1,40,82,79,78,92,54,2,81,29,0,30,36,37,35,38,34,32,39,48,42,49,41,43,33,28,4,3,7,5,6,8,14,12,11,15,19,16,18,20,21,23,26,63,65,67,62,61,70,74,71,58,56,68,57,55,53,59,66,76,84,87,77,85,86,-1313.5229419718648,1261.4396086385316,10
25,17,47,52,45,44,51,50,46,13,9,10,31,1,40,82,79,78,92,54,2,81,29,0,30,36,37,35,38,34,32,39,48,42,49,41,43,33,28,4,3,7,5,6,8,14,12,11,15,19,16,18,20,21,23,26,63,65,67,62,61,70,74,71,58,56,68,57,55,53,59,66,76,84,87,77,85,86,88,83,72,69,80,89,75,93,64,95,91,94,73,90,60,27,22,24,-1242.4541142637243,1190.370780930391,10
59,66,76,84,87,77,85,86,88,83,72,69,80,89,75,93,64,95,91,94,73,90,60,27,22,24,25,17,47,52,45,44,51,50,46,13,9,10,31,1,40,82,79,78,92,54,2,81,29,0,30,36,37,35,38,34,32,39,48,42,49,41,43,33,28,4,3,7,5,6,8,14,12,11,15,19,16,18,20,21,23,26,63,65,67,62,61,70,74,71,58,56,68,57,55,53,-1238.8414490711875,1186.7581157378543,10
79,92,94,66,95,27,63,93,81,64,21,25,5,45,12,8,7,6,9,14,10,43,33,32,34,38,37,36,30,35,31,0,28,2,3,1,11,15,18,19,17,16,22,24,47,49,48,39,40,41,50,54,52,55,56,68,58,61,59,57,46,53,51,44,4,42,78,80,90,86,89,84,77,87,76,75,73,74,85,88,83,70,72,67,62,60,71,69,82,91,65,26,23,20,13,29,-1264.3032424950582,1212.219909161725,10
44,4,42,78,80,90,86,89,84,77,87,76,75,73,74,85,88,83,70,72,67,62,60,71,69,82,91,65,26,23,20,13,29,79,92,94,66,95,27,63,93,81,64,21,25,5,45,12,8,7,6,9,14,10,43,33,32,34,38,37,36,30,35,31,0,28,2,3,1,11,15,18,19,17,16,22,24,47,49,48,39,40,41,50,54,52,55,56,68,58,61,59,57,46,53,51,-1275.463403406701,1223.3800700733677,10
35,31,0,28,2,3,1,11,15,18,19,17,16,22,24,47,49,48,39,40,41,50,54,52,55,56,68,58,61,59,57,46,53,51,44,4,42,78,80,90,86,89,84,77,87,76,75,73,74,85,88,83,70,72,67,62,60,71,69,82,91,65,26,23,20,13,29,79,92,94,66,95,27,63,93,81,64,21,25,5,45,12,8,7,6,9,14,10,43,33,32,34,38,37,36,30,-1362.9336255444239,1310.8502922110906,10
19,17,16,22,24,47,49,48,39,40,41,50,54,52,55,56,68,58,61,59,57,46,53,51,44,4,42,78,80,90,86,89,84,77,87,76,75,73,74,85,88,83,70,72,67,62,60,71,69,82,91,65,26,23,20,13,29,79,92,94,66,95,27,63,93,81,64,21,25,5,45,12,8,7,6,9,14,10,43,33,32,34,38,37,36,30,35,31,0,28,2,3,1,11,15,18,-1299.3355588987595,1247.2522255654262,10
57,46,53,51,44,4,42,78,80,90,86,89,84,77,87,76,75,73,74,85,88,83,70,72,67,62,60,71,69,82,91,65,26,23,20,13,29,79,92,94,66,95,27,63,93,81,64,21,25,5,45,12,8,7,6,9,14,10,43,33,32,34,38,37,36,30,35,31,0,28,2,3,1,11,15,18,19,17,16,22,24,47,49,48,39,40,41,50,54,52,55,56,68,58,61,59,-1263.9460646046666,1211.8627312713334,10
